idx	X	Y	component
0	168739.195628273	5800.015818725034	0
1	160891.5023121104	22581.6508648657	0
2	160891.5024270652	22581.65082558047	0
3	160583.3079020938	22686.97134796373	0
4	160583.3079020929	22686.97134796425	0
5	149284.352342806	24219.42602872699	0
6	111354.6792291669	90726.47809294517	0
7	111336.1591610626	90724.07256128076	0
8	149284.3512093148	24219.42452464996	0
9	149212.062438923	24242.99786296135	0
10	149212.062438922	24242.99786296111	0
11	149151.2429757588	24275.82248276885	0
12	149151.2487313825	24275.81644555912	0
13	148963.7305963472	24534.48018274143	0
14	148963.7297436113	24534.48316301906	0
15	148920.999718436	24595.56763814886	0
16	148920.9987975084	24595.57104303762	0
17	148711.1945417816	24979.45766482482	0
18	148711.1876704604	24979.4568022306	0
19	148684.6488355119	25057.17533150363	0
20	148684.6476760496	25057.17644248235	0
21	128675.4528004235	76022.61629251696	0
22	128675.4560368173	76022.61568721534	0
23	128699.0495079953	76088.88728619894	0
24	128699.052737582	76088.8902435154	0
25	130472.7820295846	80756.19102713153	0
26	111350.2900008544	90712.50187875018	0
27	111358.9582054754	90726.16173300215	0
28	130472.7809736849	80756.19144015406	0
29	184798.8832938291	94012.68093471008	0
30	111354.8316223656	90740.783334038	0
31	111352.459343834	90756.93414862257	0
32	111350.6887756296	90709.56084059259	0
33	111378.4858351632	90734.038105491	0
34	111364.6067952755	90735.36671079346	0
35	111344.4187892048	90751.12645870463	0
36	111360.0871080605	90706.97473649848	0
37	111350.3758652174	90727.06262073202	0
38	111337.4220096325	90728.4950809826	0
39	111338.2167067321	90708.95876082734	0
40	111332.665753602	90746.61616514176	0
41	111342.3014471253	90752.97022620018	0
42	111328.0123297028	90736.61974805103	0
43	111352.3511111727	90746.88524034743	0
44	111335.1485379964	90733.61443928193	0
45	111352.1894190054	90748.5638114071	0
46	111368.2861163688	90764.91790344359	0
47	111349.7475912588	90728.06535073003	0
48	111349.0151374831	90746.92239206418	0
49	111368.5759653275	90754.69887328902	0
50	184798.8865639089	94012.68371664018	0
51	239928.4292836004	147283.065533219	0
52	239928.4323998062	147283.0675398702	0
53	240893.0293912709	156930.7354912309	0
54	240893.0293328715	156930.7361797251	0
55	131154.2630814654	191790.1040508567	0
56	131154.2637870443	191790.10449939	0
57	131159.2458527448	191771.9328129674	0
58	131159.2460395271	191771.932748546	0
59	131446.8799886801	191659.6406824908	0
60	131446.8800714131	191659.6377136561	0
61	131466.2479113734	191653.837603633	0
62	131466.2477374123	191653.8397817651	0
63	135870.9129254697	190226.87237779	0
64	135870.9220687075	190226.8717906075	0
65	136764.6375542175	190275.6962285155	0
66	136764.6358355336	190275.6953107525	0
67	146658.0776331323	189691.6795516865	0
68	146658.0776331333	189691.6795516863	0
69	146661.7588963842	189689.7445126157	0
70	146661.7588963837	189689.7445126148	0
71	146707.5844593352	189649.4516531273	0
72	146707.5832820871	189649.4523222464	0
73	146710.3631337329	189648.1386624677	0
74	146710.3643250995	189648.139395165	0
75	157746.5165119692	182471.5870980493	0
76	111344.6124072759	90734.72284140534	0
77	111352.4159486671	90712.5399587092	0
78	157746.5174635815	182471.5881840079	0
79	82264.1444910056	109368.2460425781	0
80	111357.021233438	90717.23950367743	0
81	111351.7465242004	90749.12429467945	0
82	82264.14682203915	109368.2448275511	0
83	82283.43053607052	109358.1800770163	0
84	111359.4759380565	90750.64589899125	0
85	111343.478896704	90736.13106217831	0
86	111350.4320255492	90765.6178012368	0
87	111305.5456035665	90725.77831331379	0
88	111337.5033817743	90712.27726530399	0
89	111342.1990853544	90745.55698009727	0
90	111331.1886390319	90729.17517837888	0
91	111333.2613770323	90732.62332415774	0
92	111354.6059844	90758.37104177001	0
93	111361.9446677187	90704.33790467741	0
94	111322.2003198791	90736.30613560378	0
95	111342.7983603052	90737.01304660163	0
96	111333.2024032961	90745.9872621692	0
97	111340.2370745418	90743.23897367176	0
98	82283.43018428044	109358.1807112556	0
99	141277.3092362348	78608.24088377466	0
100	141277.322950251	78608.23464218661	0
101	141408.7597086546	78499.85265731266	0
102	141408.7597086553	78499.852657312	0
103	147565.7203071859	71996.76374472912	0
104	111341.2010770223	90745.48034476925	0
105	111342.452237418	90726.32808564509	0
106	111367.6015453795	90740.67926152679	0
107	111368.1230444186	90749.99414813869	0
108	111374.5179629464	90738.50972820786	0
109	111374.4389378097	90734.18179345279	0
110	111355.6026630256	90771.53923167042	0
111	111359.5760269905	90748.89985454737	0
112	111361.4814873208	90758.51553383356	0
113	111355.5130662506	90733.95511573362	0
114	111364.4704319205	90742.72226819777	0
115	111343.7042203365	90751.1708286912	0
116	111352.822991848	90740.19439681794	0
117	111343.8971442139	90723.47533499871	0
118	111357.4093949594	90723.54423211188	0
119	111366.8317270484	90726.59204646914	0
120	111352.0966432376	90740.90858394722	0
121	111343.5630201805	90732.49375282812	0
122	111362.4863719418	90733.3714241034	0
123	111370.362220972	90750.01383780254	0
124	147565.7213348785	71996.76265926124	0
125	144056.4556871855	58600.04231679905	0
126	111343.3332048453	90737.06901925307	0
127	111355.2997531339	90714.13201049416	0
128	111367.6034155659	90756.2776072749	0
129	111353.3363771296	90735.50928319013	0
130	111374.8365300869	90750.69794536335	0
131	111358.7688318074	90753.13682877719	0
132	111321.915345956	90721.43088471632	0
133	111345.7599200414	90745.53631436192	0
134	144056.4569706066	58600.04182949539	0
135	126355.1117797573	1131.84131557848	0
136	126355.1118668419	1131.841273112383	0
137	126625.4698906936	1000	0
138	126625.471561795	1000.000015736281	0
139	179102.2553297025	36198.50843897783	0
140	111363.7660196243	90738.86664996152	0
141	111354.9624396406	90735.87892101883	0
142	111330.9588212812	90730.74456812338	0
143	111323.1541568355	90746.0014208471	0
144	111337.354683332	90769.35950180919	0
145	111323.2724711965	90744.89757540912	0
146	111353.2001217698	90736.8839896922	0
147	111343.8971284295	90749.74740462664	0
148	111346.2712133311	90723.26272550566	0
149	111337.8915111732	90739.08719430992	0
150	111351.5333157395	90721.85715286301	0
151	111369.287607655	90717.24561341369	0
152	111351.5238672502	90755.79132179878	0
153	111358.9175398865	90745.19496727777	0
154	179102.2522061974	36198.50305763647	0
155	28281.73863874668	156039.1198749058	0
156	111331.6927289997	90758.06138011508	0
157	111332.1624177553	90735.69046394243	0
158	111371.8328249069	90725.4024537283	0
159	111362.2979474946	90725.8928819546	0
160	111339.9142208599	90734.32054212085	0
