idx	X	Y	component
0	1000	109237.6084986075	0
1	18174.05428404207	114206.6835541975	0
2	18174.05458981778	114206.683785473	0
3	18417.72350287267	114421.3793802924	0
4	18417.72400421185	114421.3828572552	0
5	28386.76943456939	119753.2362108435	0
6	115090.6298008151	121388.334110648	0
7	115090.6298008151	121387.334110648	0
8	28386.77029226157	119753.2341206095	0
9	28462.71573670271	119761.9210135059	0
10	28462.71495358809	119761.9200179793	0
11	28531.2128257435	119758.6368287547	0
12	28531.21779596293	119758.6362018576	0
13	28841.41012349608	119785.4490427783	0
14	28841.41144940972	119785.4499752363	0
15	28913.28382359611	119799.9384712656	0
16	28913.28584289621	119799.9378077262	0
17	29334.80955032798	119745.4188656258	0
18	29334.81591292273	119745.4202494098	0
19	29410.86879819633	119758.2253305084	0
20	29410.87245511504	119758.2256342951	0
21	81458.78200085473	117568.5329874314	0
22	81458.78744202045	117568.5334757905	0
23	81526.47056348811	117551.342894897	0
24	81526.47027389827	117551.3406047448	0
25	86112.21998723151	116056.4343821666	0
26	115096.6298008151	121388.334110648	0
27	115095.6298008151	121388.334110648	0
28	86112.21998723198	116056.4343821675	0
29	95353.27026612392	74769.48820843871	0
30	115093.6298008151	121387.334110648	0
31	115093.6298008151	121388.334110648	0
32	115093.6298008151	121389.334110648	0
33	115093.6298008151	121390.334110648	0
34	115094.6298008151	121390.334110648	0
35	115094.6298008151	121389.334110648	0
36	115095.6298008151	121389.334110648	0
37	115096.6298008151	121389.334110648	0
38	115096.6298008151	121390.334110648	0
39	115095.6298008151	121390.334110648	0
40	115095.6298008151	121391.334110648	0
41	115096.6298008151	121391.334110648	0
42	115096.6298008151	121392.334110648	0
43	115095.6298008151	121392.334110648	0
44	115094.6298008151	121392.334110648	0
45	115094.6298008151	121391.334110648	0
46	115093.6298008151	121391.334110648	0
47	115093.6298008151	121392.334110648	0
48	115092.6298008151	121392.334110648	0
49	115091.6298008151	121392.334110648	0
50	95353.25846133816	74769.48129963296	0
51	205781.0451600742	86552.95408203115	0
52	205781.0446780314	86552.95542879502	0
53	211111.279622716	96226.38521344235	0
54	211111.2772018513	96226.38494430824	0
55	129610.585033381	219233.1527169549	0
56	129610.587883697	219233.153362072	0
57	129596.4499612091	219248.9921795795	0
58	129596.4497294223	219248.9923850587	0
59	129387.2559644221	219527.9017178299	0
60	129387.2563945237	219527.9011191181	0
61	129369.7028635276	219541.7638809586	0
62	129369.7027134943	219541.7639987961	0
63	125654.7143519531	222620.5450576513	0
64	125654.7135378309	222620.5445888363	0
65	124889.561709299	223060.5443975524	0
66	124889.5615592666	223060.5445153897	0
67	118450.4607590702	230063.315195783	0
68	118450.4605009158	230063.3170131265	0
69	118454.1599298684	230061.6570796777	0
70	118454.1597142868	230061.6623255557	0
71	118480.5881912115	230005.0918134073	0
72	118480.5876782439	230005.0940219691	0
73	118482.3447156528	230002.1698457872	0
74	118482.3435434345	230002.1682506836	0
75	107553.543380811	223962.7093696758	0
76	115090.6298008151	121396.334110648	0
77	115090.6298008151	121395.334110648	0
78	107553.5490172484	223962.7028383317	0
79	195842.8277153022	110359.7090129836	0
80	115089.6298008151	121397.334110648	0
81	115090.6298008151	121397.334110648	0
82	195842.8306450156	110359.7057530501	0
83	195851.4487262511	110341.4268069329	0
84	115089.6298008151	121399.334110648	0
85	115089.6298008151	121400.334110648	0
86	115090.6298008151	121400.334110648	0
87	115090.6298008151	121399.334110648	0
88	115091.6298008151	121399.334110648	0
89	115091.6298008151	121400.334110648	0
90	115092.6298008151	121400.334110648	0
91	115092.6298008151	121399.334110648	0
92	115092.6298008151	121398.334110648	0
93	115091.6298008151	121398.334110648	0
94	115091.6298008151	121397.334110648	0
95	115092.6298008151	121397.334110648	0
96	115093.6298008151	121397.334110648	0
97	115094.6298008151	121397.334110648	0
98	195851.4509898506	110341.4245445351	0
99	197750.4985722846	140310.5833252314	0
100	197750.4963063882	140310.5819520915	0
101	197617.0203934838	140205.338680673	0
102	197617.0221652942	140205.3396910922	0
103	190000.791216062	136215.018000162	0
104	115095.6298008151	121399.334110648	0
105	115095.6298008151	121400.334110648	0
106	115096.6298008151	121400.334110648	0
107	115096.6298008151	121399.334110648	0
108	115096.6298008151	121398.334110648	0
109	115095.6298008151	121398.334110648	0
110	115095.6298008151	121397.334110648	0
111	115096.6298008151	121397.334110648	0
112	115096.6298008151	121396.334110648	0
113	115096.6298008151	121395.334110648	0
114	115095.6298008151	121395.334110648	0
115	115095.6298008151	121396.334110648	0
116	115094.6298008151	121396.334110648	0
117	115093.6298008151	121396.334110648	0
118	115093.6298008151	121395.334110648	0
119	115094.6298008151	121395.334110648	0
120	115094.6298008151	121394.334110648	0
121	115093.6298008151	121394.334110648	0
122	115093.6298008151	121393.334110648	0
123	115094.6298008151	121393.334110648	0
124	190000.7956545831	136215.0204358503	0
125	174785.2200089932	127184.9365940261	0
126	115096.6298008151	121394.334110648	0
127	115096.6298008151	121393.334110648	0
128	115097.6298008151	121393.334110648	0
129	115097.6298008151	121394.334110648	0
130	115098.6298008151	121394.334110648	0
131	115098.6298008151	121393.334110648	0
132	115099.6298008151	121393.334110648	0
133	115100.6298008151	121393.334110648	0
134	174785.2203993619	127184.9356954927	0
135	104108.3052576822	94189.51281608554	0
136	104108.3110265874	94189.50472845612	0
137	103659.4761738358	94044.10059052	0
138	103659.4782148127	94044.09892776691	0
139	42089.0883940489	147529.7522092479	0
140	115098.6298008151	121396.334110648	0
141	115098.6298008151	121395.334110648	0
142	115097.6298008151	121395.334110648	0
143	115097.6298008151	121396.334110648	0
144	115097.6298008151	121397.334110648	0
145	115098.6298008151	121397.334110648	0
146	115098.6298008151	121398.334110648	0
147	115097.6298008151	121398.334110648	0
148	115097.6298008151	121399.334110648	0
149	115097.6298008151	121400.334110648	0
150	115098.6298008151	121400.334110648	0
151	115098.6298008151	121399.334110648	0
152	115099.6298008151	121399.334110648	0
153	115099.6298008151	121400.334110648	0
154	42089.08109214935	147529.7547421683	0
155	113147.2321523368	166891.6318991637	0
156	115100.6298008151	121398.334110648	0
157	115099.6298008151	121398.334110648	0
158	115099.6298008151	121397.334110648	0
159	115100.6298008151	121397.334110648	0
160	115101.6298008151	121397.334110648	0
161	115102.6298008151	121397.334110648	0
162	113147.2323475328	166891.6333978819	0
163	113181.4118649614	166833.8582147895	0
164	115101.6298008151	121399.334110648	0
165	115101.6298008151	121400.334110648	0
166	113181.4102000913	166833.8577627167	0
167	180358.7739332652	142048.6687786715	0
168	180358.7755231762	142048.6681920706	0
169	180338.805262927	141575.6089968424	0
170	180338.8074557726	141575.6032744104	0
171	136974.6258703101	4023.035412005265	0
172	136974.6249156073	4023.032584922927	0
173	136952.7082464288	3951.245725471585	0
174	115103.6298008151	121397.334110648	0
175	115104.6298008151	121397.334110648	0
176	136952.7064310616	3951.240989380181	0
177	136950.3342892487	3944.248864508074	0
178	136950.3291891754	3944.240169804747	0
179	136904.5219134004	3830.446697544088	0
180	136904.5224683205	3830.439296667508	0
181	136872.0372300682	3755.696053424879	0
182	136872.0380978885	3755.691136075257	0
183	136808.3633785033	3597.198611839776	0
184	115102.6298008151	121394.334110648	0
185	115101.6298008151	121394.334110648	0
186	136808.3626196595	3597.193149719329	0
187	136787.6072956152	3560.817593237865	0
188	115103.6298008151	121393.334110648	0
189	115103.6298008151	121394.334110648	0
190	136787.6085417776	3560.803834352846	0
191	136722.8430092471	3412.496549175412	0
192	115104.6298008151	121392.334110648	0
193	115103.6298008151	121392.334110648	0
194	136722.8414466341	3412.496496575535	0
195	136713.6341534317	3385.707417006328	0
196	115104.6298008151	121390.334110648	0
197	115104.6298008151	121389.334110648	0
198	115103.6298008151	121389.334110648	0
199	115103.6298008151	121390.334110648	0
200	115102.6298008151	121390.334110648	0
201	115102.6298008151	121389.334110648	0
202	115101.6298008151	121389.334110648	0
203	115101.6298008151	121390.334110648	0
204	136713.6331089235	3385.710010052688	0
205	134694.3323385277	1000	0
